iter	Logloss	Accuracy
0	0.007861928779	0.9999508459
1	0.0001808821961	1
2	1.813524288e-05	1
3	4.985078477e-06	1
4	2.322986763e-06	1
5	1.410486502e-06	1
6	1.377269472e-06	1
7	9.931921383e-07	1
8	9.799372815e-07	1
9	9.752909179e-07	1
10	9.725533274e-07	1
11	9.694306728e-07	1
12	9.671242065e-07	1
13	7.443195615e-07	1
14	7.420364683e-07	1
15	7.380424765e-07	1
16	7.353396055e-07	1
17	7.344390296e-07	1
18	7.337909032e-07	1
19	7.332780539e-07	1
20	7.033222929e-07	1
21	7.025676417e-07	1
22	7.023062867e-07	1
23	7.021515467e-07	1
24	6.978642082e-07	1
25	6.958077094e-07	1
26	6.957167711e-07	1
27	6.956108402e-07	1
28	6.94236672e-07	1
29	6.891356173e-07	1
30	6.885601704e-07	1
31	6.884508388e-07	1
32	6.884260758e-07	1
33	6.882034849e-07	1
34	5.552252709e-07	1
35	5.545956081e-07	1
36	5.204940849e-07	1
37	5.197954736e-07	1
38	5.19239095e-07	1
39	5.179839869e-07	1
40	5.176538845e-07	1
41	5.172250419e-07	1
42	4.972856161e-07	1
43	4.524888467e-07	1
44	4.159457594e-07	1
45	4.15252401e-07	1
46	3.664450837e-07	1
47	3.658810404e-07	1
48	3.656976185e-07	1
49	3.401347203e-07	1
50	3.399090973e-07	1
51	3.396528431e-07	1
52	3.394752251e-07	1
53	3.391693343e-07	1
54	3.390753563e-07	1
55	3.389918424e-07	1
56	3.389662637e-07	1
57	3.388838304e-07	1
58	3.387752996e-07	1
59	3.386908211e-07	1
60	3.386762362e-07	1
61	3.385791765e-07	1
62	3.38500392e-07	1
63	3.384337092e-07	1
64	3.384237529e-07	1
65	3.38360209e-07	1
66	3.383150611e-07	1
67	3.382778241e-07	1
68	3.275415832e-07	1
69	3.274330943e-07	1
70	3.27286877e-07	1
71	2.913731843e-07	1
72	2.91266707e-07	1
73	2.809353919e-07	1
74	2.688682316e-07	1
75	2.471034165e-07	1
76	2.468502171e-07	1
77	2.467027574e-07	1
78	2.465960255e-07	1
79	2.463048805e-07	1
80	2.462035046e-07	1
81	2.379232561e-07	1
82	2.186541325e-07	1
83	2.184927472e-07	1
84	2.183422429e-07	1
85	2.182928809e-07	1
86	2.124858251e-07	1
87	2.038409653e-07	1
88	2.037526345e-07	1
89	2.037051148e-07	1
90	2.035168579e-07	1
91	1.894450611e-07	1
92	1.892781328e-07	1
93	1.891588182e-07	1
94	1.890185516e-07	1
95	1.889748246e-07	1
96	1.888536312e-07	1
97	1.887803147e-07	1
98	1.88616167e-07	1
99	1.850849867e-07	1
