iter	Passed	Remaining
0	843	83501
1	2492	122109
2	3575	115604
3	4634	111227
4	5279	100318
5	7579	118740
6	8189	108796
7	9269	106597
8	9892	100028
9	10865	97792
10	11767	95211
11	13409	98332
12	14509	97103
13	15662	96210
14	16814	95284
15	17691	92880
16	18577	90699
17	19773	90080
18	20797	88664
19	25423	101692
20	26632	100189
21	27745	98369
22	28855	96603
23	30269	95853
24	31741	95224
25	33429	95144
26	34442	93123
27	35509	91309
28	37101	90834
29	39302	91705
30	40485	90112
31	41706	88626
32	42281	85843
33	43271	83996
34	44392	82444
35	45516	80918
36	46632	79402
37	47375	77297
38	48429	75748
39	49450	74175
40	50202	72241
41	51388	70965
42	53016	70277
43	55825	71050
44	56903	69548
45	57468	67463
46	58400	65855
47	59485	64443
48	62480	65031
49	63861	63861
50	64861	62318
51	66870	61726
52	67748	60078
53	68590	58428
54	70012	57283
55	71433	56126
56	72382	54604
57	73487	53214
58	74351	51668
59	75305	50203
60	76153	48688
61	78844	48324
62	80646	47363
63	81642	45923
64	82558	44454
65	83434	42981
66	85889	42304
67	88010	41416
68	89519	40218
69	90660	38854
70	92684	37857
71	95105	36985
72	95780	35425
73	97075	34107
74	98337	32779
75	100957	31881
76	103189	30822
77	104170	29381
78	105315	27995
79	107380	26845
80	110115	25829
81	111329	24438
82	112466	23035
83	113421	21604
84	115830	20440
85	118399	19274
86	119683	17883
87	120564	16440
88	122482	15138
89	125067	13896
90	126759	12536
91	127891	11121
92	128670	9684
93	129418	8260
94	132215	6958
95	133681	5570
96	134183	4150
97	134911	2753
98	135759	1371
99	138014	0
